imdbId,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Baltic States,Bangladesh,Central America+,Cyprus,Czech Republic/Slovakia,Djibouti,East Africa,Lebanon/United Arab Emirates,Lesser Antilles,Mauritius,Middle East,Middle East Other,Middle East/UAE,Morocco,New Caledonia,Palestine,Reunion,Russia/CIS/Ukraine,Sri Lanka,Tunisia,West Indies,Greece and Cyprus,Ireland,S/E/W Africa,Syria,Yugoslavia,Costa Rica,Honduras,Nicaragua,Switzerland (Italian),El Salvador,Guatemala,Netherlands Antilles,North Macedonia,South Africa/Nigeria,Switzerland (French/Italian),E/W Africa,Laos,Bosnia,Soviet Union,Malta
1438463,High Security Vacation (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,532,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469046,Despicable Me 3 (2017),"$312,085",,"$25,230,192","$4,962,021",,"$6,658,997","$1,755,635","$23,168,715","$966,944",,,,"$7,377,294","$158,171,566","$6,952,678","$678,079",,"$3,616,019","$4,997,659","$264,624,300",,"$2,484,620","$365,235","$807,774",,"$3,951,011","$41,410,060","$43,830,147",,"$2,528,341","$6,876,276","$2,838,744","$442,665","$2,919,721","$6,076,680",,"$5,675,841","$22,330,417",,"$66,229,119",,,,"$701,604","$836,892","$1,045,784","$3,911,388","$34,804,796","$187,460","$11,892,805","$3,946,901",,"$4,094,938",,"$247,083","$583,904","$585,163","$5,871,463","$3,411,209","$9,872,733","$3,203,394",,,"$1,261,318",,"$26,022,710",,"$564,288","$3,784,648","$1,671,374","$671,880","$3,482,617","$21,655,413","$23,329,085","$7,446,939","$11,994,624",,,"$5,981,130","$1,701,296","$494,464","$3,186,444","$2,355,988","$4,198,353","$62,875,753","$1,370,130","$2,032,549","$3,318,385",,,,"$254,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131206,Lucifer (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4835086,We Are X (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$412,724",,,,,,,,,,,,,,,,,,,,,,,,,,"$7,610",,,,,,,"$31,648",,,,,,,"$43,664",,,,,"$7,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822672,Rock Dog (2016),"$94,632",,,,,,"$79,892","$379,816","$251,528",,,,,"$5,684,785","$314,913",,,"$135,083",,"$9,420,546",,,,,,,,,,"$67,353",,"$139,971","$62,750",,,,,"$535,264",,,,,,,,"$102,352",,"$909,295",,,,,,,,,"$16,646",,,"$477,106","$202,725",,,"$144,671",,"$1,439,122",,,,"$89,610",,"$423,067","$1,602,054",,,,,,,,,"$211,059","$230,776","$235,070",,"$20,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372747,Yulenka (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,926,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0814229,Nevalyashka (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,088,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432916,Den D (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,039,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5158522,The Levelling (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0479728,Nikto ne znaet pro seks (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,995,214",,,,,,,,,,,,,,,,,"$296,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148261,Bleach the Movie 2: The Diamond Dust Rebellion (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,915,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996932,Game of Truth (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$959,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307050,Karlsson on the Roof (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0913446,Zhara (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$364,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290296,Space Station 3D (2002),,,"$3,436,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$886,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778010,Dead Awake (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532261,Antikiller D.K. (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,857,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202532,Platon (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,129,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321517,The Spy (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,588,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167970,Bilet na Vegas (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,809,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0477337,The Sword Bearer (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0814236,Moscow Mission (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,212,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0283957,Dead Weight (2002),,,,,,,,,"$18,243",,,,,,,,,"$5,469",,,,,,,,,"$16,325,873",,,,,"$198,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$250,210",,,,,,,,"$208,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0459924,Paragraph 78 (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,965,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0854151,Nulevoy kilometr (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,243,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0976209,Lyubov-Morkov (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,640,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322330,Kamennaya bashka (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$889,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348236,The Midwife (2017),"$64,196",,"$406,136",,,,,,,,,,,,"$27,161",,,,,,,,,,,"$112,041","$4,962,364",,,"$9,200",,"$23,222",$905,,,,,"$321,015",,,,,,,,"$7,909",,,,"$294,102",,,"$38,921",,,,,,,,"$19,304",,,"$3,389",,"$45,088",,,,$877,,,"$71,489","$235,949",,,,,,,,,,,"$25,477","$13,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551314,Odd Job (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718924,A Family Man (2016),,,,,,,"$9,208","$68,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$724,059",,,,,,,,,,,,,,,,,,"$285,508",,,,,,,"$35,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429194,Paris Can Wait (2016),"$207,498",,"$1,135,977",,,,"$14,356","$608,366",,,,,,,"$152,388",,,,,,,,,,,"$108,768",,"$451,777",,"$132,342",,,,"$2,367,556",,,,"$265,232",,,,,,,,"$34,815",,,,"$145,085","$202,102",,,,,,,,,"$106,223","$76,625",,,,,"$96,802",,,,,"$24,189","$150,361","$818,666","$434,614",,,,,,,,,,,,"$52,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230207,Newsmakers (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$671,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0937373,Summer Lover (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$219,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124396,Gitler kaput! (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,690,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506452,The Priest (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,676,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725050,Na izmene (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,058,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764600,Sluzhebnyy roman. Nashe vremya (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,829,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805479,A Quiet Outpost (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846473,All Inclusive ili Vsyo vklyucheno! (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,103,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094767,August 8 (2012),,,,,,,,,,,,,,"$2,560,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,031,148",,,,,,,,,,,,,,,,,"$28,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475794,Solovey-Razboynik (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,248,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261719,The Jungle (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,865,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4334266,The Bad Batch (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,373",,,,,,,,,,,,,,,,,,,,,,,"$19,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450958,War for the Planet of the Apes (2017),"$3,525,754",,"$8,131,449","$1,309,851","$988,989","$2,495,043","$699,985","$13,690,557","$195,527",,,,"$3,076,189","$112,150,301","$3,222,183","$299,608",,"$19,846","$1,368,374",,"$260,804","$1,338,029","$607,219","$146,961",,"$463,324","$24,197,812","$10,156,360",,"$448,438","$4,560,489","$566,704","$123,041","$3,639,945","$3,929,555",,"$1,146,242","$4,295,433","$108,672","$6,611,633","$208,429",,"$1,807,829","$64,127","$369,655","$84,896","$3,157,885","$16,465,421","$144,352","$3,717,606","$1,846,081",,"$469,816","$469,816","$258,697",,"$81,837","$4,918,977","$1,521,436","$760,589","$915,738",,"$1,031,787","$1,036,391",,"$11,616,165",,"$132,871","$2,222,992","$208,290","$59,458","$724,860","$14,974,431","$10,273,417","$1,948,681","$1,221,978",,,"$5,280,017","$2,268,541","$584,025","$2,718,935","$731,501","$4,090,081","$26,717,325","$204,743",,"$977,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458169,Kidnap (2017),"$4,334",,,,,,"$76,866","$186,658","$70,951",,,,,,"$317,293",,,,,,,,,,,,,,,"$22,304",,,"$41,503",,,,,,,,,,,,,,,"$1,049,100",,"$367,724",,,,,,,"$10,807",,,,"$77,807",,,,,"$239,178",,,,"$23,325",,"$290,217","$157,952",,,,,,,"$146,555",,"$19,192",,"$705,358",,"$35,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0296619,The Rain Children (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772874,This Is Not What I Expected (2017),,,,,,,,,,,,,,"$30,658,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660736,Apprentice (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,991",,,"$3,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3859310,How to Talk to Girls at Parties (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,"$145,694",,,,,"$3,520",,,,,,,,,,,,,,,,"$27,699",,,,,,,,,,,,,"$9,506",,,,,"$73,746",,,,,,,,,,,,,,,,"$9,189",,,"$31,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708526,Halal police d'État (2011),,,,,,,,,,,,,,,,"$2,115",,,,,,,,,,,"$6,973,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527049,Tender Son: The Frankenstein Project (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3677366,Express 'Moscow - Russia' (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,026,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195412,Wakefield (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$221,561",,,,,,,,,,,"$32,873",,,,,"$272,313",,,,,,"$8,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991206,The Wedding Plan (2016),"$22,756",,"$34,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5563330,Whitney: Can I Be Me (2017),,,,,,,,,,,,,,,"$11,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239822,Valerian and the City of a Thousand Planets (2017),"$756,637",,"$2,315,939","$1,363,431",,"$1,887,655","$188,462","$2,463,492","$279,403",,,,"$511,080","$62,073,823","$732,024","$346,245",,"$606,855","$845,622","$41,189,488","$24,791","$293,629",,"$126,404",,"$505,929","$36,781,160","$13,534,383",,"$288,032","$1,791,365","$884,375","$87,250","$290,158","$607,436",,"$512,648","$2,804,160",,,,,,"$137,721",,"$133,526","$735,830","$4,979,880","$70,419","$1,500,931","$464,496",,"$418,359",,,"$122,714","$24,456","$830,340","$651,701","$2,499,034","$716,611",,,"$545,486",,"$14,453,896",,"$120,874","$467,991","$266,034","$94,636","$581,028","$3,673,823","$3,684,591","$942,450","$1,750,869",,,"$939,141","$1,761,018",,"$707,322","$1,365,831","$744,910","$5,161,611","$29,631",,"$228,211",,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,413","$30,518","$9,911",,,,,,,,,,,,
0391774,Autobahnraser (2004),,,,"$46,941",,,,,,,,,,"$1,255,566",,,,,,,,,,,,,"$706,414","$1,592,205",,,,"$70,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0286917,Requiem (2001),,,,,,,,,,,,,,,,,,"$3,357",,,,,,,,,"$277,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4964310,Bet on Revenge (2017),,,,,,,,,,,,,,,"$9,231",,,,,,,,,,,,,,,,,"$2,295,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078667,Liar Game: Reborn (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,446",,,,,,,,,"$24,549,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934404,Intimate Parts (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$438,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571502,Les yeux jaunes des crocodiles (2014),,,,,,,,"$9,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6389344,Three heroes and the King of the Sea (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,777,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351818,Rock'n Roll (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090465,Black Butterfly (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311182,Almost Charming (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$232,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899142,Combustion (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,485",,,,,,,,,,,,,,,,,,"$726,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0248408,Manitou's Shoe (2001),,,,"$11,260,881",,,,,,,,,,,,,,,,,,,,,,,,"$64,221,213",,,,"$63,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,900",,,,,,,,,,,,,,"$110,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630526,The Giant King (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,684",,,,,,,,,,,,,,,,,,,,,,,,,,"$856,327",,,,,,,"$1,668,124",,,,"$63,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0477327,Butterfly Kiss (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,326,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246587,Indigo (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,645,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0484382,One Way (2006),,,,"$131,612",,,,,,,,,,,,,,,,,,,,,,,,"$2,098,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$379,780",,,,,,"$181,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746484,After Love (2016),"$66,794",,,,,,,,,,,,,,"$37,797",,,,,,,,,,,,"$1,141,629",,,"$23,272",,"$7,836",,,,,,"$257,011",,,,,,,,,,,,"$36,863",,,,,,,,,,,,,,,,,,,,,,,,"$67,851",,,,,,,,,,,"$73,189","$2,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582498,Sweet Virginia (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6223974,The Farthest (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
